"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
161030018,FUT_NK225_1603,　,201603,,15860,15906,15915.79,,0.0755,16,Nikkei 225 
161060018,FUT_NK225_1606,　,201606,,15730,15787,15915.79,,0.1636,107,Nikkei 225 
161090018,FUT_NK225_1609,　,201609,,15700,15762,15915.79,,0.1855,198,Nikkei 225 
161120018,FUT_NK225_1612,　,201612,,15580,15653,15915.79,,0.1855,289,Nikkei 225 
162030018,FUT_NK225_1703,　,201703,,15540,15622,15915.79,,0.1855,380,Nikkei 225 
162060018,FUT_NK225_1706,　,201706,,15420,15505,15915.79,,0.1855,471,Nikkei 225 
162120018,FUT_NK225_1712,　,201712,,15270,15373,15915.79,,0.1855,653,Nikkei 225 
163060018,FUT_NK225_1806,　,201806,,15100,15228,15915.79,,0.1855,835,Nikkei 225 
163120018,FUT_NK225_1812,　,201812,,14950,15099,15915.79,,0.1855,1024,Nikkei 225 
164060018,FUT_NK225_1906,　,201906,,14960,14957,15915.79,,0.1855,1206,Nikkei 225 
164120018,FUT_NK225_1912,　,201912,,14830,14829,15915.79,,0.1855,1388,Nikkei 225 
165060018,FUT_NK225_2006,　,202006,,14690,14690,15915.79,,0.1855,1570,Nikkei 225 
165120018,FUT_NK225_2012,　,202012,,14560,14565,15915.79,,0.1855,1752,Nikkei 225 
161030019,FUT_NK225M_1603,　,201603,,15860,15906,15915.79,,0.0755,16,Nikkei 225 
161040019,FUT_NK225M_1604,　,201604,,15730,15781,15915.79,,0.0755,44,Nikkei 225 
161050019,FUT_NK225M_1605,　,201605,,15740,15783,15915.79,,0.1009,79,Nikkei 225 
161060019,FUT_NK225M_1606,　,201606,,15730,15787,15915.79,,0.1636,107,Nikkei 225 
161070019,FUT_NK225M_1607,　,201607,,15765,15767,15915.79,,0.1636,135,Nikkei 225 
161090019,FUT_NK225M_1609,　,201609,,15700,15762,15915.79,,0.1855,198,Nikkei 225 
161120019,FUT_NK225M_1612,　,201612,,15580,15653,15915.79,,0.1855,289,Nikkei 225 
162030019,FUT_NK225M_1703,　,201703,,15540,15622,15915.79,,0.1855,380,Nikkei 225 
162060019,FUT_NK225M_1706,　,201706,,15420,15505,15915.79,,0.1855,471,Nikkei 225 
162120019,FUT_NK225M_1712,　,201712,,15270,15373,15915.79,,0.1855,653,Nikkei 225 
163060019,FUT_NK225M_1806,　,201806,,15100,15228,15915.79,,0.1855,835,Nikkei 225 
163120019,FUT_NK225M_1812,　,201812,,14950,15099,15915.79,,0.1855,1024,Nikkei 225 
164060019,FUT_NK225M_1906,　,201906,,14960,14957,15915.79,,0.1855,1206,Nikkei 225 
164120019,FUT_NK225M_1912,　,201912,,14830,14829,15915.79,,0.1855,1388,Nikkei 225 
165060019,FUT_NK225M_2006,　,202006,,14690,14690,15915.79,,0.1855,1570,Nikkei 225 
165120019,FUT_NK225M_2012,　,202012,,14560,14565,15915.79,,0.1855,1752,Nikkei 225 
161030005,FUT_TOPIX_1603,　,201603,,1280,1284.17,1284.53,,0.0755,16,TOPIX
161060005,FUT_TOPIX_1606,　,201606,,1272,1271.91,1284.53,,0.1636,107,TOPIX
161090005,FUT_TOPIX_1609,　,201609,,1270.5,1270.46,1284.53,,0.1855,198,TOPIX
161120005,FUT_TOPIX_1612,　,201612,,1260,1260.12,1284.53,,0.1855,289,TOPIX
162030005,FUT_TOPIX_1703,　,201703,,1258.5,1258.37,1284.53,,0.1855,380,TOPIX
161030006,FUT_TOPIXM_1603,　,201603,,1280,1284.17,1284.53,,0.0755,16,TOPIX
161060006,FUT_TOPIXM_1606,　,201606,,1272,1271.91,1284.53,,0.1636,107,TOPIX
161090006,FUT_TOPIXM_1609,　,201609,,1270.5,1270.46,1284.53,,0.1855,198,TOPIX
161030022,FUT_JP400_1603,　,201603,,11575,11622,11625.38,,0.0755,16,JPX-Nikkei Index 400
161060022,FUT_JP400_1606,　,201606,,11515,11516,11625.38,,0.1636,107,JPX-Nikkei Index 400
161090022,FUT_JP400_1609,　,201609,,11500,11500,11625.38,,0.1855,198,JPX-Nikkei Index 400
161120022,FUT_JP400_1612,　,201612,,11405,11406,11625.38,,0.1855,289,JPX-Nikkei Index 400
162030022,FUT_JP400_1703,　,201703,,11390,11388,11625.38,,0.1855,380,JPX-Nikkei Index 400
161030063,FUT_TPX30_1603,　,201603,,612,612.2,612.42,,0.0755,16,TOPIX Core30
161060063,FUT_TPX30_1606,　,201606,,606.5,606.4,612.42,,0.1636,107,TOPIX Core30
161090063,FUT_TPX30_1609,　,201609,,605.5,605.7,612.42,,0.1855,198,TOPIX Core30
161030032,FUT_TPBNK_1603,　,201603,,138.8,138.8,138.84,,0.0755,16,TOPIX Banks Index
161060032,FUT_TPBNK_1606,　,201606,,137.5,137.5,138.84,,0.1636,107,TOPIX Banks Index
161090032,FUT_TPBNK_1609,　,201609,,137.3,137.3,138.84,,0.1855,198,TOPIX Banks Index
161030069,FUT_REIT_1603,　,201603,,1857,1857.1,1865.63,,0.0755,16,TSE REIT Index
161060069,FUT_REIT_1606,　,201606,,1846,1845.8,1865.63,,0.1636,107,TSE REIT Index
161090069,FUT_REIT_1609,　,201609,,1827.5,1827.6,1865.63,,0.1855,198,TSE REIT Index
161030015,FUT_NKVI_1603,　,201603,,37.5,,36.19,,,14,Nikkei 225 VI 
161040015,FUT_NKVI_1604,　,201604,,31.45,,36.19,,,49,Nikkei 225 VI 
161050015,FUT_NKVI_1605,　,201605,,32.85,,36.19,,,77,Nikkei 225 VI 
161060015,FUT_NKVI_1606,　,201606,,24.55,,36.19,,,105,Nikkei 225 VI 
161070015,FUT_NKVI_1607,　,201607,,23.65,,36.19,,,140,Nikkei 225 VI 
161080015,FUT_NKVI_1608,　,201608,,23.25,,36.19,,,168,Nikkei 225 VI 
161090015,FUT_NKVI_1609,　,201609,,22.85,,36.19,,,203,Nikkei 225 VI 
161100015,FUT_NKVI_1610,　,201610,,22.85,,36.19,,,231,Nikkei 225 VI 
161030073,FUT_DJIA_1603,　,201603,,16355,,16431.78,,,27,DJIA
161060073,FUT_DJIA_1606,　,201606,,16115,,16431.78,,,117,DJIA
161090073,FUT_DJIA_1609,　,201609,,15939,,16431.78,,,209,DJIA
161120073,FUT_DJIA_1612,　,201612,,15939,,16431.78,,,299,DJIA
161020074,FUT_NIFTY_1602,　,201602,,7045,,7109.55,,,2,India Nifty50
161030074,FUT_NIFTY_1603,　,201603,,7063,,7109.55,,,37,India Nifty50
161040074,FUT_NIFTY_1604,　,201604,,7045,,7109.55,,,68,India Nifty50
161030076,FUT_RNP_1603,　,201603,,969.5,969.4,969.67,,0.0755,16,RNP
161060076,FUT_RNP_1606,　,201606,,960,959.9,969.67,,0.1636,107,RNP
161090076,FUT_RNP_1609,　,201609,,959,958.8,969.67,,0.1855,198,RNP
161120076,FUT_RNP_1612,　,201612,,951,951.1,969.67,,0.1855,289,RNP
162030076,FUT_RNP_1703,　,201703,,950,949.8,969.67,,0.1855,380,RNP
160120017,FUT_NKDIV_1512,　,201512,,327,,,,,37,Nikkei Stock Average Dividend Point Index
161120017,FUT_NKDIV_1612,　,201612,,330.7,,,,,404,Nikkei Stock Average Dividend Point Index
162120017,FUT_NKDIV_1712,　,201712,,330.5,,,,,768,Nikkei Stock Average Dividend Point Index
