公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

0001            10.00        10.70         9.30
0015             9.59        10.25         8.92
002001          52.00        55.60        48.40
0050            57.70        61.70        53.70
0051            32.80        35.09        30.51
0052            38.60        41.30        35.90
0056            57.70      9999.95          .01
0060            51.00      9999.95          .01
0061            52.00      9999.95          .01
006201          57.70        61.70        53.70
006205          57.70        61.70        53.70
006301           9.80        10.48         9.12
008201          57.70      9999.95          .01
01001T          13.33        14.26        12.40
01002T          10.88        11.64        10.12
01003T          11.55        12.35        10.75
01004T          12.60        13.48        11.72
01005T           9.80        10.48         9.12
01006T           9.80        10.48         9.12
01007T          11.60        12.41        10.79
03000F            .01      9995.00          .01
03119             .97         2.37          .01
03121             .44          .76          .12
03122             .60         1.60          .01
03154            2.45         3.12          .01
03155            3.03         3.65          .01
032330           2.59        10.00          .10
033047           1.07        10.00          .10
033079           1.45        10.00          .10
033529           1.39        10.00          .10
033548            .36        10.00          .10
03371           10.00        20.00          .10
03447             .28          .52          .04
03507           10.00        20.00          .10
03508           10.00        20.00          .10
03538           10.00        20.00          .10
03619P           1.43        10.00          .10
03647             .43          .88          .01
03693           10.00        20.00          .10
03983             .50          .83          .16
04064             .17          .35          .01
04086             .58          .84          .32
04093             .01          .24          .01
04169             .02          .60          .01
04233             .92         1.40          .44
04248            4.60         7.05         2.15
04252             .01          .19          .01
04261             .01          .96          .01
04262             .01          .81          .01
04263             .01          .26          .01
04273             .02          .29          .01
04279             .01          .71          .01
04293             .01          .66          .01
04308             .20         2.75          .01
04309             .12          .45          .01
04316             .02          .77          .01
04333             .53          .81          .25
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

04334             .97         1.52          .42
04335             .01          .26          .01
04345             .61          .96          .26
04346             .70         1.16          .24
04353             .01          .10          .01
04354P            .01          .10          .01
04371             .02         1.07          .01
04375             .88         1.73          .03
04382             .58          .83          .33
04383             .28          .40          .16
04387             .01          .27          .01
04399            1.15         1.75          .55
04401             .03          .16          .01
04402             .07          .25          .01
04408             .99         1.47          .51
04409             .60          .81          .39
04411            1.96         2.44         1.48
04413             .38          .54          .22
04414             .28          .54          .02
04415             .01          .27          .01
04416             .42          .75          .09
04417             .30         1.75          .01
04418P            .02          .16          .01
04425             .10          .35          .01
04426             .42         2.17          .01
04437            1.02         2.97          .01
04442             .12         1.62          .01
04443             .48          .67          .29
04446             .05          .30          .01
04448             .14          .26          .02
04449             .80         1.29          .31
04453             .17         1.27          .01
04454             .32         1.12          .01
04455            7.50        10.10         4.90
04456             .01          .27          .01
04457             .42         1.32          .01
04458             .01          .36          .01
04459             .33          .59          .07
04461             .03          .08          .01
04462             .08          .29          .01
04463             .28          .76          .01
04464P            .02          .50          .01
04465             .15          .28          .02
04466             .17          .31          .03
04467             .01          .43          .01
04468            4.35         6.20         2.50
04469            2.45         3.30         1.60
04471             .05          .17          .01
04472             .03         1.48          .01
04473             .01         1.36          .01
04474             .04          .69          .01
04475             .12          .32          .01
04476             .36          .62          .10
04477             .02          .27          .01
04478             .23         1.38          .01
04479             .02          .27          .01
04481             .44          .87          .01
公司代號    收盤價      漲停價格     跌停價格
