"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
161060018,FUT_NK225_1606,　,201606,,16700,16675,16675.45,,0.0164,3,Nikkei 225 
161090018,FUT_NK225_1609,　,201609,,16670,16645,16675.45,,0.0627,94,Nikkei 225 
161120018,FUT_NK225_1612,　,201612,,16520,16533,16675.45,,0.1127,185,Nikkei 225 
162030018,FUT_NK225_1703,　,201703,,16480,16502,16675.45,,0.1346,276,Nikkei 225 
162060018,FUT_NK225_1706,　,201706,,16340,16376,16675.45,,0.1346,367,Nikkei 225 
162090018,FUT_NK225_1709,　,201709,,16300,16348,16675.45,,0.1346,458,Nikkei 225 
162120018,FUT_NK225_1712,　,201712,,16180,16238,16675.45,,0.1346,549,Nikkei 225 
163060018,FUT_NK225_1806,　,201806,,15990,16082,16675.45,,0.1346,731,Nikkei 225 
163120018,FUT_NK225_1812,　,201812,,15830,15947,16675.45,,0.1346,920,Nikkei 225 
164060018,FUT_NK225_1906,　,201906,,15660,15793,16675.45,,0.1346,1102,Nikkei 225 
164120018,FUT_NK225_1912,　,201912,,15500,15660,16675.45,,0.1346,1284,Nikkei 225 
165060018,FUT_NK225_2006,　,202006,,15330,15510,16675.45,,0.1346,1466,Nikkei 225 
165120018,FUT_NK225_2012,　,202012,,15180,15379,16675.45,,0.1346,1648,Nikkei 225 
161060019,FUT_NK225M_1606,　,201606,,16700,16675,16675.45,,0.0164,3,Nikkei 225 
161070019,FUT_NK225M_1607,　,201607,,16680,16653,16675.45,,0.0346,31,Nikkei 225 
161080019,FUT_NK225M_1608,　,201608,,16675,16653,16675.45,,0.0518,66,Nikkei 225 
161090019,FUT_NK225M_1609,　,201609,,16670,16645,16675.45,,0.0627,94,Nikkei 225 
161100019,FUT_NK225M_1610,　,201610,,16535,16531,16675.45,,0.1127,129,Nikkei 225 
161120019,FUT_NK225M_1612,　,201612,,16520,16533,16675.45,,0.1127,185,Nikkei 225 
162030019,FUT_NK225M_1703,　,201703,,16480,16502,16675.45,,0.1346,276,Nikkei 225 
162060019,FUT_NK225M_1706,　,201706,,16340,16376,16675.45,,0.1346,367,Nikkei 225 
162090019,FUT_NK225M_1709,　,201709,,16300,16348,16675.45,,0.1346,458,Nikkei 225 
162120019,FUT_NK225M_1712,　,201712,,16180,16238,16675.45,,0.1346,549,Nikkei 225 
163060019,FUT_NK225M_1806,　,201806,,15990,16082,16675.45,,0.1346,731,Nikkei 225 
163120019,FUT_NK225M_1812,　,201812,,15830,15947,16675.45,,0.1346,920,Nikkei 225 
164060019,FUT_NK225M_1906,　,201906,,15660,15793,16675.45,,0.1346,1102,Nikkei 225 
164120019,FUT_NK225M_1912,　,201912,,15500,15660,16675.45,,0.1346,1284,Nikkei 225 
165060019,FUT_NK225M_2006,　,202006,,15330,15510,16675.45,,0.1346,1466,Nikkei 225 
165120019,FUT_NK225M_2012,　,202012,,15180,15379,16675.45,,0.1346,1648,Nikkei 225 
161060005,FUT_TOPIX_1606,　,201606,,1344.5,1340.77,1340.77,,0.0164,3,TOPIX
161090005,FUT_TOPIX_1609,　,201609,,1341.5,1338.77,1340.77,,0.0627,94,TOPIX
161120005,FUT_TOPIX_1612,　,201612,,1328,1328.11,1340.77,,0.1127,185,TOPIX
162030005,FUT_TOPIX_1703,　,201703,,1326.5,1326.3,1340.77,,0.1346,276,TOPIX
162060005,FUT_TOPIX_1706,　,201706,,1313.5,1313.61,1340.77,,0.1346,367,TOPIX
161060006,FUT_TOPIXM_1606,　,201606,,1344.5,1340.77,1340.77,,0.0164,3,TOPIX
161090006,FUT_TOPIXM_1609,　,201609,,1341.5,1338.77,1340.77,,0.0627,94,TOPIX
161120006,FUT_TOPIXM_1612,　,201612,,1328,1328.11,1340.77,,0.1127,185,TOPIX
161060022,FUT_JP400_1606,　,201606,,12100,12083,12083.08,,0.0164,3,JPX-Nikkei Index 400
161090022,FUT_JP400_1609,　,201609,,12075,12062,12083.08,,0.0627,94,JPX-Nikkei Index 400
161120022,FUT_JP400_1612,　,201612,,11965,11964,12083.08,,0.1127,185,JPX-Nikkei Index 400
162030022,FUT_JP400_1703,　,201703,,11945,11945,12083.08,,0.1346,276,JPX-Nikkei Index 400
162060022,FUT_JP400_1706,　,201706,,11835,11834,12083.08,,0.1346,367,JPX-Nikkei Index 400
161060063,FUT_TPX30_1606,　,201606,,629.5,629.7,629.69,,0.0164,3,TOPIX Core30
161090063,FUT_TPX30_1609,　,201609,,629,628.8,629.69,,0.0627,94,TOPIX Core30
161120063,FUT_TPX30_1612,　,201612,,623.5,623.7,629.69,,0.1127,185,TOPIX Core30
161060032,FUT_TPBNK_1606,　,201606,,146.7,146.7,146.74,,0.0164,3,TOPIX Banks Index
161090032,FUT_TPBNK_1609,　,201609,,146.5,146.5,146.74,,0.0627,94,TOPIX Banks Index
161120032,FUT_TPBNK_1612,　,201612,,145.4,145.4,146.74,,0.1127,185,TOPIX Banks Index
161060069,FUT_REIT_1606,　,201606,,1882.5,1882.6,1882.6,,0.0164,3,TSE REIT Index
161090069,FUT_REIT_1609,　,201609,,1862.5,1862.6,1882.6,,0.0627,94,TSE REIT Index
161120069,FUT_REIT_1612,　,201612,,1851.5,1851.5,1882.6,,0.1127,185,TSE REIT Index
161060015,FUT_NKVI_1606,　,201606,,26.85,,26.41,,,1,Nikkei 225 VI 
161070015,FUT_NKVI_1607,　,201607,,25.7,,26.41,,,36,Nikkei 225 VI 
