＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
160120018,FUT_NK225_1512,　,201512,,19850,19849,19847.58,,0.13,16,日経225
161030018,FUT_NK225_1603,　,201603,,19820,19825,19847.58,,0.2573,107,日経225
161060018,FUT_NK225_1606,　,201606,,19710,19713,19847.58,,0.2836,198,日経225
161090018,FUT_NK225_1609,　,201609,,19740,19697,19847.58,,0.2836,289,日経225
161120018,FUT_NK225_1612,　,201612,,19660,19592,19847.58,,0.2836,380,日経225
162030018,FUT_NK225_1703,　,201703,,19630,19569,19847.58,,0.2836,471,日経225
162060018,FUT_NK225_1706,　,201706,,19530,19457,19847.58,,0.2836,562,日経225
162120018,FUT_NK225_1712,　,201712,,19420,19338,19847.58,,0.2836,744,日経225
163060018,FUT_NK225_1806,　,201806,,19280,19204,19847.58,,0.2836,926,日経225
163120018,FUT_NK225_1812,　,201812,,19150,19088,19847.58,,0.2836,1115,日経225
164060018,FUT_NK225_1906,　,201906,,18960,18957,19847.58,,0.2836,1297,日経225
164120018,FUT_NK225_1912,　,201912,,18840,18841,19847.58,,0.2836,1479,日経225
165060018,FUT_NK225_2006,　,202006,,18710,18711,19847.58,,0.2836,1661,日経225
160120019,FUT_NK225M_1512,　,201512,,19850,19849,19847.58,,0.13,16,日経225
161010019,FUT_NK225M_1601,　,201601,,19835,19824,19847.58,,0.13,44,日経225
161020019,FUT_NK225M_1602,　,201602,,19830,19827,19847.58,,0.1709,79,日経225
161030019,FUT_NK225M_1603,　,201603,,19820,19825,19847.58,,0.2573,107,日経225
161040019,FUT_NK225M_1604,　,201604,,19700,19701,19847.58,,0.2573,135,日経225
161060019,FUT_NK225M_1606,　,201606,,19710,19713,19847.58,,0.2836,198,日経225
161090019,FUT_NK225M_1609,　,201609,,19740,19697,19847.58,,0.2836,289,日経225
161120019,FUT_NK225M_1612,　,201612,,19660,19592,19847.58,,0.2836,380,日経225
162030019,FUT_NK225M_1703,　,201703,,19630,19569,19847.58,,0.2836,471,日経225
162060019,FUT_NK225M_1706,　,201706,,19530,19457,19847.58,,0.2836,562,日経225
162120019,FUT_NK225M_1712,　,201712,,19420,19338,19847.58,,0.2836,744,日経225
163060019,FUT_NK225M_1806,　,201806,,19280,19204,19847.58,,0.2836,926,日経225
163120019,FUT_NK225M_1812,　,201812,,19150,19088,19847.58,,0.2836,1115,日経225
164060019,FUT_NK225M_1906,　,201906,,18960,18957,19847.58,,0.2836,1297,日経225
164120019,FUT_NK225M_1912,　,201912,,18840,18841,19847.58,,0.2836,1479,日経225
165060019,FUT_NK225M_2006,　,202006,,18710,18711,19847.58,,0.2836,1661,日経225
